Wall time,Step,Value
1782499417.22358,282624,231.99435424804688
1782499421.3819258,284672,226.91366577148438
1782499423.3644109,285696,221.4288787841797
1782499425.183257,286720,224.56466674804688
1782499429.315944,288768,211.60060119628906
1782499430.2377338,289280,213.28768920898438
1782499431.146333,289792,217.76126098632812
1782499433.005235,290816,216.550048828125
1782499434.9426959,291840,220.6172332763672
1782499436.795729,292864,219.10133361816406
1782499438.7149289,293888,218.80064392089844
1782499439.655318,294400,216.45350646972656
1782499442.423271,295936,214.17417907714844
1782499444.233988,296960,217.9327850341797
1782499445.1388319,297472,219.46038818359375
1782499446.0455701,297984,219.6429901123047
1782499447.006429,298496,216.4730224609375
1782499447.9135842,299008,215.37879943847656
1782499448.817325,299520,214.3451690673828
1782499452.948693,300544,222.94613647460938
1782499453.985888,301056,223.1693115234375
1782499458.6941261,303616,215.0697479248047
1782499459.629569,304128,218.0498504638672
1782499461.452988,305152,211.754638671875
1782499462.3658729,305664,214.99583435058594
1782499463.276394,306176,217.468994140625
1782499466.2921119,307712,215.14794921875
1782499468.114348,308736,207.0995330810547
1782499469.966321,309760,208.1453399658203
1782499471.7903092,310784,210.9708251953125
1782499473.612132,311808,212.710205078125
1782499475.4847481,312832,212.2335662841797
1782499476.401994,313344,216.84605407714844
1782499477.317329,313856,209.28207397460938
1782499480.0764391,315392,216.4358673095703
1782499483.83903,317440,227.28524780273438
1782499484.871223,317952,235.0853271484375
1782499486.895693,318976,233.54586791992188
1782499487.930054,319488,226.32254028320312
1782499490.147323,320512,227.7060546875
1782499493.863925,322560,222.6541290283203
1782499500.455038,325120,209.48228454589844
1782499506.8759801,328704,221.55868530273438
1782499507.7903,329216,232.07618713378906
1782499509.627826,330240,235.0780487060547
1782499510.552244,330752,229.64736938476562
1782499511.458375,331264,220.22604370117188
1782499512.395445,331776,220.81686401367188
1782499513.313567,332288,219.41677856445312
1782499514.220958,332800,212.8408660888672
1782499516.039243,333824,208.4636688232422
1782499516.942534,334336,214.15553283691406
1782499520.565378,336384,211.36618041992188
1782499521.4710531,336896,205.7412567138672
1782499523.275174,337920,210.67686462402344
1782499525.084825,338944,221.5126190185547
1782499527.800081,340480,211.79714965820312
1782499529.608692,341504,202.79013061523438
1782499530.515906,342016,210.7253875732422
1782499531.423702,342528,218.88307189941406
1782499534.137516,344064,215.24400329589844
1782499535.042808,344576,204.92324829101562
1782499535.9483762,345088,198.98338317871094
1782499536.853218,345600,190.93479919433594
1782499537.759752,346112,199.7318878173828
1782499539.568469,347136,203.7717742919922
1782499540.473726,347648,225.8709259033203
1782499541.376665,348160,225.17294311523438
1782499543.185001,349184,230.22042846679688
1782499544.125907,349696,228.4467010498047
1782499546.9717782,350208,225.55389404296875
1782499547.884758,350720,219.66390991210938
1782499548.797048,351232,220.6859893798828
1782499549.730177,351744,216.46031188964844
